story,url,title,descr
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162628.shtml,«Лестер» объявил о назначении экс-главного тренера «Ливерпуля» и «Селтика» Брендана Роджерса,Коуч начинает погоню за топами.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162514.shtml,"Хосеп Гвардиола: «Александр Зинченко показал мне, насколько важно быть хорошим парнем»","Коуч намекнул, что не хотел бы расставаться с Сашей в скором времени."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162489.shtml,The Sun: инцидент между Маурицио Сарри и Кепой Аррисабалагой разделил «Челси» на 2 лагеря,Лондонцы превращаются в аналог «Спартака».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162428.shtml,"Игроки «Тоттенхэма» снялись в рекламе новой Audi, главным героем которой стал петушок","Птица сыграла лучше, чем мужчины."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162317.shtml,AAIB: до крушения самолет Салы крутанулся на 180 градусов и за 20 секунд рухнул на 300 метров вниз,Пилот до последнего пытался исправить положение.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7162004.shtml,Арбитр Абиссо отстранен на месяц за спорный пенальти в ворота «Интера» на 101-й минуте,А в матчах миланского клуба этого синьора не будет вовсе.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7161982.shtml,"Страйкер «Атлетико» Антуан Гризманн: «Лучшие игроки в истории – это Месси, Роналду и Зидан»","Правда, Гризи сделал оговорку – игру Марадоны и Пеле он не застал."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7161946.shtml,"Жозе Моуринью – о следующей должности: «Хочу работать с людьми, которых люблю»",Инсайд: португалец заключит договор с самим собой.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/coppa-italia/2018-2019/story_sto7161523.shtml,«Тебя даже диарея не беспокоит?» Пепе Рейна – о конкуренции с Касильясом и победе над бесплодием,Вся правда о голкипере «Милана» и сборной Испании.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/russian-premier-league/2018-2019/story_sto7161916.shtml,Суд отклонил апелляцию по делу Кокорина и Мамаева. Игроки останутся под стражей до 8 апреля,Ожидаемое решение.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/story_sto7141471.shtml,"Диего Форлан, Робин ван Перси и Ривалдо. Угадай, кто из легенд до сих пор играет",Все не уймутся.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7161851.shtml,"Лео Месси, Аллан Сен-Максимин и Эден Азар – лучшие дриблеры Европы, Криштиану Роналду – вне топ-50","Все справедливо: Криш уже давно славится не дриблингом, а сумасшедшей статой."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7161785.shtml,Диаби завершил карьеру в 32 года. За 9 лет в «Арсенале» он получил 18 травм и пропустил 1937 дней,"Абу был потенциально круче, чем Виейра, но не сложилось."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7161784.shtml,«Челси» оштрафовал Кепу Аррисабалагу на недельную зарплату,Деньги будут переданы в благотворительный фонд.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/turkish-super-lig/2018-2019/story_sto7161673.shtml,"Невероятный камбэк «Фенербахче», который горел «Бешикташу» 0:3 после первого тайма и все исправил",Стамбульское дерби не эпичным не бывает.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/turkish-super-lig/2018-2019/live_mtc1046715.shtml,Онлайн Бешикташ - Фенербахче - Чемпионат Турции - 25 февраля 2019,Встреча Чемпионат Турции между Бешикташ - Фенербахче в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/eredivisie/2018-2019/story_sto7161638.shtml,«Русские игроки хотят в Европу и готовы сильно упасть в зарплате». Савин добрался до Слуцкого,Рубрика: «Мы посмотрели за вас».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/europa-league/2018-2019/story_sto7161570.shtml,Василий Уткин выполнил условия пари и побрился после победы «Краснодара» над «Байером» в ЛЕ,Все по-честному.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7161556.shtml,"Форвард «Реала» Карим Бензема: «Раньше я играл ради Криштиану Роналду, теперь я – лидер»",Передача власти в Мадриде.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7161469.shtml,Уле-Гуннар Сульшер подарил Джону Сноу из «Игры престолов» джерси с надписью «Король Севера»,Милый и символичный презент.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/russian-premier-league/2018-2019/story_sto7161402.shtml,"Фанаты «Спартака» расклеили постеры из фильма «Фантастические твари», только с Глушаковым и Ребровым",Скоро почти на всех стадионах России.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7161391.shtml,"«Барса» молчит, но Бускетс запостил красноречивое фото, на котором колено Суареса укутано в компресс",Сыграет ли Луис против «Реала»?
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7161261.shtml,"Гарет Бэйл скинул с плеча руку Лукаса Васкеса: из-за неудач он зол на себя, «Реал» и партнеров",Черная полоса в карьере валлийца.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/vysshaya-liga/2019/story_sto7161205.shtml,Белорусская модель подарила сердечко защитнику брестского «Динамо». Раньше она тоже играла в футбол,Александра Сокол сияет во всех смыслах слова.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160966.shtml,Маурицио Сарри должен был заменить Кепу Аррисабалагу. Итальянец сам виноват в случившемся,"Титул упущен, уважение – нет. Но Маурицио все равно жаль."
